OrderID,PurchaseDate,CustomerType,Region,ProductColor,ProcessingDays,PaymentMethod,LoyaltyMember,StoreBranch,EmployeeName
ORD100000,2023-02-02,individual,East,Red,6,Paypal,No,D,Casey
ORD100001,2023-08-27,CORPORATE,East,Green,4,Cash,Yes,A,Taylor
ORD100002,2023-05-15,Corporate,North,White,12,Cash,Yes,B,Jordan
ORD100003,2023-04-07,Corporate,South,Red,16,DebitCard,No,B,Jamie
ORD100004,2023-01-20,Individual,norte,White,10,CreditCard,No,B,Jamie
ORD100005,2023-06-04,Individual,North,Blue,16,Cash,No,D,Riley
ORD100006,2023-04-17,Individual,North,Black,14,DebitCard,No,B,Avery
ORD100007,2023-06-13,corporate,South,White,10,Paypal,No,A,Morgan
ORD100008,2023-01-30,Corporate,South,Blue,15,Paypal,Yes,C,Casey
ORD100009,2023-03-21,Corporate,West,Green,6,Paypal,No,C,Alex
ORD100010,2023-04-27,Individual,East,Blue,6,Paypal,No,B,Morgan
ORD100011,2023-10-02,CORPORATE,East,Black,12,DebitCard,No,B,Riley
ORD100012,2023-07-07,corporate,West,Green,13,CreditCard,Yes,D,Alex
ORD100013,2023-01-25,Individual,north,Yellow,5,DebitCard,No,C,Casey
ORD100014,2023-03-25,Individual,West,Blue,7,CreditCard,No,D,Morgan
ORD100015,2023-03-24,Individual,norte,Red,19,Paypal,No,D,Morgan
ORD100016,2023-10-14,individual,N,Blue,8,Cash,No,D,Avery
ORD100017,2023-11-09,Corporate,East,Red,7,Cash,No,D,Avery
ORD100018,2023-05-24,INDIVIDUAL,South,Yellow,12,Cash,No,A,Jamie
ORD100019,2023-08-05,individual,norte,White,12,CreditCard,No,B,Alex
ORD100020,2023-07-20,Corporate,N,Yellow,6,Paypal,Yes,B,Taylor
ORD100021,2023-06-23,Individual,South,Green,18,DebitCard,No,D,Taylor
ORD100022,2023-04-03,individual,West,White,11,Cash,No,D,Morgan
ORD100023,2023-08-18,individual,South,Black,5,CreditCard,No,A,Avery
ORD100024,2023-06-22,INDIVIDUAL,north,White,7,Cash,Yes,D,Casey
ORD100025,2023-03-23,corporate,East,Green,7,DebitCard,No,A,Morgan
ORD100026,2023-04-12,Individual,East,Red,15,Paypal,Yes,A,Riley
ORD100027,2023-04-13,Corporate,West,Blue,18,DebitCard,Yes,D,Jamie
ORD100028,2023-03-10,Corporate,West,Black,6,Paypal,No,B,Avery
ORD100029,2023-09-24,Individual,N,Blue,11,Paypal,Yes,A,Riley
ORD100030,2023-03-20,Corporate,N,Red,13,Paypal,Yes,B,Alex
ORD100031,2023-11-16,Individual,South,Green,115,Cash,No,B,Riley
ORD100032,2023-04-30,Individual,South,Yellow,14,DebitCard,Yes,A,Avery
ORD100033,2023-01-05,CORPORATE,South,Yellow,16,Cash,Yes,C,Morgan
ORD100034,2023-03-11,CORPORATE,East,Blue,16,DebitCard,Yes,A,Riley
ORD100035,2023-01-09,corporate,West,Red,13,CreditCard,No,C,Casey
ORD100036,2023-03-10,individual,South,Yellow,10,CreditCard,No,A,Taylor
ORD100037,2023-06-19,Individual,East,,20,DebitCard,No,A,Alex
ORD100038,2023-07-25,Corporate,East,Black,20,DebitCard,Yes,B,Morgan
ORD100039,2023-10-21,INDIVIDUAL,North,White,20,DebitCard,Yes,B,Alex
ORD100040,2023-02-25,Individual,West,Black,15,DebitCard,Yes,D,Avery
ORD100041,2023-04-21,INDIVIDUAL,north,Yellow,16,Paypal,No,B,Jamie
ORD100042,2023-04-15,Individual,South,Blue,10,Cash,No,B,Riley
ORD100043,2023-01-06,CORPORATE,West,Yellow,10,Paypal,Yes,B,Taylor
ORD100044,2023-04-28,individual,norte,Yellow,9,Cash,Yes,B,Casey
ORD100045,2023-01-12,Corporate,South,Yellow,30,Cash,Yes,D,Alex
ORD100046,2023-04-23,individual,West,Green,18,Cash,No,B,Taylor
ORD100047,2023-04-12,Corporate,N,Green,6,Paypal,No,C,Riley
ORD100048,2023-05-10,Corporate,West,Red,14,DebitCard,No,C,Morgan
ORD100049,2023-07-29,Individual,West,Green,7,Paypal,No,D,Avery
ORD100050,2023-08-28,CORPORATE,East,Blue,7,Paypal,No,B,Casey
ORD100051,2023-08-14,corporate,East,Black,20,Cash,Yes,C,Casey
ORD100052,2023-02-04,CORPORATE,East,Blue,237,CreditCard,Yes,A,Jordan
ORD100053,2023-12-21,corporate,north,Blue,10,CreditCard,No,C,Alex
ORD100054,2023-03-04,Corporate,West,Green,7,Paypal,No,B,Avery
ORD100055,2023-12-10,CORPORATE,West,Yellow,7,Cash,No,C,Taylor
ORD100056,2023-08-08,Individual,West,Green,3,Paypal,No,A,Alex
ORD100057,2023-08-22,Individual,South,Red,16,Paypal,No,C,Morgan
ORD100058,2023-07-06,Individual,East,Yellow,6,DebitCard,No,B,Morgan
ORD100059,2023-01-06,individual,East,Red,5,Cash,No,A,Avery
ORD100060,2023-08-13,individual,South,White,8,CreditCard,No,D,Riley
ORD100061,2023-08-07,individual,South,White,14,CreditCard,Yes,A,Casey
ORD100062,2023-03-14,corporate,West,Green,10,CreditCard,No,C,Avery
ORD100063,2023-09-02,individual,West,Red,21,Paypal,No,D,Casey
ORD100064,2023-11-09,individual,N,Black,16,Cash,No,A,Taylor
ORD100065,2023-11-09,Corporate,East,Blue,8,DebitCard,No,A,Jamie
ORD100066,2023-06-27,Individual,East,Green,7,CreditCard,No,A,Alex
ORD100067,2023-06-11,corporate,West,Red,12,Cash,Yes,B,Alex
ORD100068,2023-05-08,Individual,South,White,13,CreditCard,No,D,Morgan
ORD100069,2023-01-30,CORPORATE,East,Blue,3,DebitCard,Yes,D,Alex
ORD100070,2023-03-30,corporate,East,Yellow,7,Cash,No,A,Taylor
ORD100071,2023-05-23,Individual,South,Black,4,Paypal,No,D,Jordan
ORD100072,2023-11-25,Individual,South,Green,8,Paypal,Yes,C,Avery
ORD100073,2023-07-09,corporate,East,Blue,3,CreditCard,Yes,C,Casey
ORD100074,2023-04-18,Corporate,N,,16,CreditCard,No,A,Morgan
ORD100075,2023-01-29,Corporate,West,Green,17,Cash,No,C,Avery
ORD100076,2023-02-10,corporate,north,Yellow,11,DebitCard,Yes,A,Casey
ORD100077,2023-03-30,Individual,East,Red,19,CreditCard,No,C,Casey
ORD100078,2023-04-29,individual,norte,Green,10,Cash,No,A,Casey
ORD100079,2023-10-25,Individual,South,Green,8,DebitCard,Yes,A,Jordan
ORD100080,2023-10-12,corporate,East,Blue,5,CreditCard,No,D,Avery
ORD100081,2023-05-13,Corporate,South,Blue,7,CreditCard,No,D,Alex
ORD100082,2023-09-07,individual,norte,White,15,Cash,No,A,Jamie
ORD100083,2023-03-29,Individual,South,Red,10,CreditCard,No,D,Casey
ORD100084,2023-05-01,individual,South,Blue,20,Paypal,Yes,D,Taylor
ORD100085,2023-01-15,individual,N,Green,5,DebitCard,Yes,B,Casey
ORD100086,2023-04-21,Corporate,South,Black,17,DebitCard,Yes,C,Casey
ORD100087,2023-05-19,Corporate,West,Blue,15,Paypal,No,D,Avery
ORD100088,2023-03-09,corporate,West,Yellow,8,Cash,No,A,Alex
ORD100089,2023-01-24,INDIVIDUAL,north,Blue,14,Paypal,No,B,Riley
ORD100090,2023-03-07,Individual,North,Blue,9,Paypal,No,B,Taylor
ORD100091,2023-10-04,Corporate,East,Blue,6,DebitCard,No,D,Alex
ORD100092,2023-06-01,corporate,East,White,13,Cash,No,A,Casey
ORD100093,2023-08-23,Corporate,North,Blue,12,CreditCard,No,A,Avery
ORD100094,2023-02-04,corporate,North,Blue,6,Paypal,Yes,A,Riley
ORD100095,2023-10-25,INDIVIDUAL,East,Green,3,Paypal,Yes,A,Alex
ORD100096,2023-01-09,Corporate,West,White,12,Cash,No,A,Alex
ORD100097,2023-02-16,INDIVIDUAL,East,Red,9,Paypal,No,C,Morgan
ORD100098,2023-08-21,Individual,South,Green,4,Cash,No,A,Jordan
ORD100099,2023-03-25,Individual,South,Blue,5,CreditCard,No,A,Riley
ORD100100,2023-03-25,Individual,East,Green,44,Cash,Yes,C,Jamie
ORD100101,2023-12-05,Corporate,West,Yellow,18,CreditCard,No,D,Riley
ORD100102,2023-03-09,individual,North,Yellow,13,Cash,No,B,Jordan
ORD100103,2023-05-30,Corporate,West,Red,12,Paypal,No,C,Jordan
ORD100104,2023-01-27,CORPORATE,West,Red,-2,CreditCard,No,B,Taylor
ORD100105,2023-07-11,individual,East,Blue,15,Paypal,No,B,Morgan
ORD100106,2023-01-30,INDIVIDUAL,South,Red,13,CreditCard,No,C,Morgan
ORD100107,2023-08-13,corporate,norte,Blue,14,Cash,No,A,Alex
ORD100108,2023-07-31,Individual,East,Black,71,Cash,No,B,Jordan
ORD100109,2023-05-13,Individual,north,,19,Cash,No,A,Riley
ORD100110,2023-12-05,individual,East,,7,DebitCard,Yes,D,Jamie
ORD100111,2023-10-07,Individual,West,White,15,DebitCard,Yes,C,Taylor
ORD100112,2023-08-25,CORPORATE,East,Yellow,4,CreditCard,Yes,B,Riley
ORD100113,2023-02-22,corporate,South,Black,7,DebitCard,Yes,A,Morgan
ORD100114,2023-09-01,Corporate,North,Red,5,Cash,No,B,Alex
ORD100115,2023-11-25,corporate,East,Yellow,5,DebitCard,No,D,Jamie
ORD100116,2023-11-22,corporate,norte,Green,10,DebitCard,Yes,D,Jordan
ORD100117,2023-12-20,Individual,West,Green,7,Paypal,Yes,B,Avery
ORD100118,2023-09-11,corporate,East,Black,8,CreditCard,Yes,C,Avery
ORD100119,2023-06-14,Corporate,West,Red,278,CreditCard,No,D,Riley
ORD100120,2023-05-14,corporate,norte,Red,19,CreditCard,No,A,Jamie
ORD100121,2023-07-31,corporate,South,White,13,DebitCard,No,D,Avery
ORD100122,2023-02-24,individual,South,Blue,7,Cash,No,A,Morgan
ORD100123,2023-11-15,Individual,West,Green,14,Paypal,Yes,B,Avery
ORD100124,2023-11-04,Individual,N,White,16,CreditCard,Yes,A,Taylor
ORD100125,2023-04-04,INDIVIDUAL,North,Yellow,15,DebitCard,Yes,B,Riley
ORD100126,2023-05-16,corporate,South,Green,5,Cash,No,D,Avery
ORD100127,2023-01-26,corporate,N,Red,21,Paypal,No,C,Jordan
ORD100128,2023-07-17,Individual,norte,Red,18,Paypal,No,D,Taylor
ORD100129,2023-07-04,Corporate,South,White,3,CreditCard,No,D,Casey
ORD100130,2023-11-24,INDIVIDUAL,North,Yellow,12,CreditCard,No,D,Avery
ORD100131,2023-10-05,Individual,East,Green,5,Cash,Yes,D,Avery
ORD100132,2023-04-27,Individual,South,Blue,17,DebitCard,Yes,C,Jamie
ORD100133,2023-10-02,individual,West,Blue,12,Cash,No,D,Avery
ORD100134,2023-08-14,CORPORATE,north,,11,CreditCard,No,A,Avery
ORD100135,2023-03-20,individual,East,Red,14,Cash,Yes,C,Jamie
ORD100136,2023-12-13,Corporate,West,Yellow,8,DebitCard,No,C,Alex
ORD100137,2023-08-29,Corporate,South,Blue,17,Paypal,No,A,Jordan
ORD100138,2023-11-19,individual,West,Yellow,18,Paypal,No,B,Jamie
ORD100139,2023-03-17,CORPORATE,N,White,248,Paypal,No,D,Morgan
ORD100140,2023-06-23,CORPORATE,norte,Yellow,7,Paypal,No,C,Casey
ORD100141,2023-09-16,individual,N,Blue,21,CreditCard,No,D,Morgan
ORD100142,2023-02-02,INDIVIDUAL,East,Yellow,14,CreditCard,No,D,Taylor
ORD100143,2023-04-03,individual,North,Black,15,DebitCard,No,A,Casey
ORD100144,2023-03-21,individual,north,Green,7,DebitCard,No,A,Avery
ORD100145,2023-06-12,Individual,East,White,19,DebitCard,No,A,Casey
ORD100146,2023-11-03,Corporate,East,Yellow,13,DebitCard,Yes,D,Morgan
ORD100147,2023-01-21,Corporate,West,White,16,Cash,Yes,C,Avery
ORD100148,2023-10-27,Individual,West,Yellow,11,DebitCard,No,C,Jamie
ORD100149,2023-12-19,individual,South,Blue,4,Paypal,No,B,Morgan
ORD100150,2023-06-25,CORPORATE,South,Red,4,Paypal,No,D,Jordan
ORD100151,2023-07-17,Individual,South,Blue,10,Paypal,Yes,B,Taylor
ORD100152,2023-07-21,Individual,West,White,20,Cash,Yes,B,Riley
ORD100153,2023-10-01,INDIVIDUAL,East,Black,-6,DebitCard,No,B,Casey
ORD100154,2023-05-25,CORPORATE,East,Yellow,8,Paypal,Yes,B,Avery
ORD100155,2023-12-31,individual,North,Red,5,Paypal,Yes,B,Jordan
ORD100156,2023-05-11,Corporate,East,Blue,17,Paypal,No,D,Jamie
ORD100157,2023-09-17,corporate,north,Black,14,Paypal,Yes,A,Jamie
ORD100158,2023-03-17,Individual,East,Green,20,CreditCard,No,B,Morgan
ORD100159,2023-05-07,Corporate,West,Red,17,DebitCard,No,C,Alex
ORD100160,2023-09-06,individual,West,Yellow,8,DebitCard,Yes,D,Casey
ORD100161,2023-05-08,Corporate,East,Blue,15,Cash,No,B,Casey
ORD100162,2023-11-18,Corporate,norte,Red,9,CreditCard,No,C,Alex
ORD100163,2023-04-07,Corporate,East,Green,5,Cash,No,B,Jamie
ORD100164,2023-08-20,Individual,north,Blue,18,Paypal,No,A,Jamie
ORD100165,2023-10-21,corporate,West,,18,Cash,No,D,Riley
ORD100166,2023-02-09,individual,norte,Blue,17,Paypal,No,A,Riley
ORD100167,2023-04-06,Individual,West,Blue,7,Paypal,No,C,Casey
ORD100168,2023-02-21,Individual,East,Blue,7,DebitCard,No,B,Riley
ORD100169,2023-03-08,Corporate,north,Black,13,DebitCard,Yes,A,Riley
ORD100170,2023-02-13,Corporate,West,Green,15,DebitCard,Yes,A,Avery
ORD100171,2023-02-14,Individual,East,Yellow,14,DebitCard,Yes,B,Taylor
ORD100172,2023-01-25,Corporate,East,Blue,18,DebitCard,No,D,Casey
ORD100173,2023-03-03,Individual,East,Blue,9,CreditCard,Yes,C,Jamie
ORD100174,2023-09-29,Corporate,East,Green,16,DebitCard,No,D,Avery
ORD100175,2023-08-23,Individual,South,Black,8,Cash,No,C,Jamie
ORD100176,2023-09-20,Corporate,norte,White,5,Paypal,Yes,C,Riley
ORD100177,2023-01-22,individual,South,Blue,5,DebitCard,No,A,Taylor
ORD100178,2023-05-01,CORPORATE,north,Green,17,CreditCard,No,B,Riley
ORD100179,2023-12-23,Individual,East,White,19,Cash,Yes,D,Riley
